date,country,cases,deaths,population,gdp,density_per_sqr_km
2020-03-29,Austria,594,0,8877067.0,50137.6627762476,107.131858943286
2020-03-30,Austria,522,18,8877067.0,50137.6627762476,107.131858943286
2020-03-31,Austria,805,22,8877067.0,50137.6627762476,107.131858943286
2020-04-01,Austria,564,20,8877067.0,50137.6627762476,107.131858943286
2020-04-02,Austria,529,18,8877067.0,50137.6627762476,107.131858943286
2020-04-03,Austria,418,12,8877067.0,50137.6627762476,107.131858943286
2020-04-04,Austria,396,10,8877067.0,50137.6627762476,107.131858943286
2020-04-05,Austria,241,18,8877067.0,50137.6627762476,107.131858943286
2020-04-06,Austria,217,18,8877067.0,50137.6627762476,107.131858943286
2020-04-07,Austria,314,16,8877067.0,50137.6627762476,107.131858943286
2020-04-08,Austria,343,23,8877067.0,50137.6627762476,107.131858943286
2020-04-09,Austria,329,30,8877067.0,50137.6627762476,107.131858943286
2020-04-10,Austria,279,22,8877067.0,50137.6627762476,107.131858943286
2020-04-11,Austria,312,24,8877067.0,50137.6627762476,107.131858943286
2020-04-12,Austria,247,18,8877067.0,50137.6627762476,107.131858943286
2020-04-13,Austria,130,13,8877067.0,50137.6627762476,107.131858943286
2020-04-14,Austria,106,18,8877067.0,50137.6627762476,107.131858943286
2020-04-15,Austria,191,16,8877067.0,50137.6627762476,107.131858943286
2020-04-16,Austria,136,9,8877067.0,50137.6627762476,107.131858943286
2020-04-17,Austria,78,17,8877067.0,50137.6627762476,107.131858943286
2020-04-18,Austria,155,21,8877067.0,50137.6627762476,107.131858943286
2020-04-19,Austria,59,12,8877067.0,50137.6627762476,107.131858943286
2020-04-20,Austria,48,9,8877067.0,50137.6627762476,107.131858943286
2020-04-21,Austria,73,10,8877067.0,50137.6627762476,107.131858943286
2020-04-22,Austria,50,1,8877067.0,50137.6627762476,107.131858943286
2020-04-23,Austria,91,31,8877067.0,50137.6627762476,107.131858943286
2020-04-24,Austria,61,14,8877067.0,50137.6627762476,107.131858943286
2020-04-25,Austria,83,5,8877067.0,50137.6627762476,107.131858943286
2020-04-26,Austria,66,23,8877067.0,50137.6627762476,107.131858943286
2020-04-27,Austria,55,6,8877067.0,50137.6627762476,107.131858943286
2020-04-28,Austria,67,7,8877067.0,50137.6627762476,107.131858943286
2020-04-29,Austria,58,20,8877067.0,50137.6627762476,107.131858943286
2020-04-30,Austria,50,11,8877067.0,50137.6627762476,107.131858943286
2020-05-01,Austria,60,4,8877067.0,50137.6627762476,107.131858943286
2020-05-02,Austria,34,5,8877067.0,50137.6627762476,107.131858943286
2020-05-03,Austria,12,7,8877067.0,50137.6627762476,107.131858943286
2020-05-04,Austria,68,2,8877067.0,50137.6627762476,107.131858943286
2020-05-05,Austria,31,2,8877067.0,50137.6627762476,107.131858943286
2020-05-06,Austria,17,6,8877067.0,50137.6627762476,107.131858943286
2020-05-07,Austria,65,2,8877067.0,50137.6627762476,107.131858943286
2020-05-08,Austria,22,1,8877067.0,50137.6627762476,107.131858943286
2020-05-09,Austria,62,5,8877067.0,50137.6627762476,107.131858943286
2020-05-10,Austria,42,1,8877067.0,50137.6627762476,107.131858943286
2020-05-11,Austria,10,3,8877067.0,50137.6627762476,107.131858943286
2020-05-12,Austria,87,2,8877067.0,50137.6627762476,107.131858943286
2020-05-13,Austria,36,3,8877067.0,50137.6627762476,107.131858943286
2020-05-14,Austria,54,1,8877067.0,50137.6627762476,107.131858943286
2020-05-15,Austria,41,2,8877067.0,50137.6627762476,107.131858943286
2020-05-16,Austria,63,2,8877067.0,50137.6627762476,107.131858943286
2020-05-17,Austria,72,0,8877067.0,50137.6627762476,107.131858943286
2020-05-18,Austria,14,1,8877067.0,50137.6627762476,107.131858943286
2020-05-19,Austria,25,0,8877067.0,50137.6627762476,107.131858943286
2020-05-20,Austria,78,3,8877067.0,50137.6627762476,107.131858943286
2020-05-21,Austria,18,1,8877067.0,50137.6627762476,107.131858943286
2020-05-22,Austria,57,0,8877067.0,50137.6627762476,107.131858943286
2020-05-23,Austria,29,2,8877067.0,50137.6627762476,107.131858943286
2020-05-24,Austria,46,4,8877067.0,50137.6627762476,107.131858943286
2020-05-25,Austria,32,1,8877067.0,50137.6627762476,107.131858943286
2020-05-26,Austria,20,1,8877067.0,50137.6627762476,107.131858943286
2020-05-27,Austria,38,2,8877067.0,50137.6627762476,107.131858943286
2020-05-28,Austria,18,2,8877067.0,50137.6627762476,107.131858943286
2020-05-29,Austria,28,23,8877067.0,50137.6627762476,107.131858943286
2020-05-30,Austria,51,0,8877067.0,50137.6627762476,107.131858943286
2020-05-31,Austria,44,0,8877067.0,50137.6627762476,107.131858943286
2020-06-01,Austria,4,0,8877067.0,50137.6627762476,107.131858943286
